Part,Quantity,Unit Price,Total Price,Amazon Link,AliExpress Link,eBay Link (can change),Manufacturer,Weight on Drone (g),Alt. Product,Notes,Cheapest
gps,1,$18.99,$18.99,https://www.amazon.com/HGLRC-M100-5883-GPS-Generation-Compatible/dp/B0CB5N8RQ8,Very sketchy seller,https://www.ebay.com/itm/365491316265,https://www.hglrc.com/collections/gps-module/products/m100-5883-gps,7.8,,,"aliexpress, but amazon is $0.4 more for better seller"
diodes,1,$0.98,$0.98,https://www.amazon.com/BOJACK-Rectifier-IN4007-Electronic-Silicon/dp/B07Q6J9TNW/,https://www.aliexpress.us/item/3256801365779334.html,https://www.ebay.com/itm/233978474455,(none),,,for the controller battery charging,aliexpress
joysticks,1,$1.81,$1.81,https://www.amazon.com/Teyleten-Robot-Dual-axis-Controller-Raspberry/dp/B0CPFDKWZF/,https://www.aliexpress.us/item/3256806299955871.html,https://www.ebay.com/itm/116398486698,(none),,,haz buttons!!!!,aliexpress
buttons,1,$1.82,$1.82,https://www.amazon.com/QTEATAK-Momentary-Tactile-Button-Switch/dp/B07VSNN9S2,https://www.aliexpress.us/item/3256802301084670.html,https://www.ebay.com/itm/115663380319,(none),,,"6mm tactile switch, height ≤5mm",aliexpress
small lipo batteries,2,$6.74,$13.48,https://www.amazon.com/EEMB-Battery-Rechargeable-Connector-Certified/dp/B095VN3JHW/,(none found),https://www.ebay.com/itm/357122701041,(none),,,for powering the controllers - get any size smaller than in the CAD design,amazon (I wouldn't trust aliexpress with batteries)
controller on/off switches,1,$3.20,$3.20,https://www.amazon.com/Tnuocke-Vertical-Position-Latching-SS12F44-G5/dp/B099MN9JFP,https://www.aliexpress.us/item/3256803752541650.html,https://www.ebay.com/itm/296516034736,(none),,,get the ss12f44 model,aliexpress
Drone battery charger,1,$24.99,$24.99,https://www.amazon.com/SKYRC-B6Neo-Balance-Battery-Discharger/dp/B0CCT2WGNS/,https://www.aliexpress.us/item/3256805953719537.html,https://www.ebay.com/itm/286231446903,https://www.skyrc.com/b6neo+,,https://www.amazon.com/gp/product/B0CYBXM3JV/,"the skyrc b6 neo is great, but the alt linked amazon one seems good too",amazon
Motors,1,$63.00,$63.00,https://www.amazon.com/SPARKHOBBY-Brushless-5-6inch-Propeller-Freestyle/dp/B0D791QQ64/,https://www.aliexpress.us/item/3256807565015473.html,https://www.ebay.com/itm/364104658026,https://shop.iflight.com/xing-e-pro-2207-2-6s-fpv-nextgen-motor-pro874,136,,"these are the ones I got, but please please please research your own 2207 models (16x16 mounting pattern)",amazon
Props,2,$2.24,$4.48,https://www.amazon.com/PHJKCRWXUL-6x4-5-3-Blade-Propeller-Quadcopter/dp/B0FB7VC2BD,https://www.aliexpress.us/item/3256804148539664.html,https://www.ebay.com/itm/285665860636,(none),20,,please research these yourself (but get 5045 size),aliexpress
Tax,,,$23.48,,,,,,,,
Total,,,$421.80,,,,,644.7,,,
